1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1479047.5339805824,948960.2904290428,1062255.701554404,983563.9839357431,1052447.5072184792,1157220.2750929368,1368583.5912408761,1871444.133802817,2227380.071005917,2583514.748387097,2047387.2930374907,1651080.234948605,2199754.5602280824,2349319.634602076,2323773.5438596494,2493297.811023622,2605000.040790312,2956665.774454829,3649697.65398773,9118654.957983194,12251094.666666668,7373876.901185771,8822338.521400778,9450918.734782608,13254770.320804657,12494594.52329749,11322335.638888888,12036059.523396043,7039531.734324197,11247898.483916083,5169397.153599266,6822880.988883949,8047952.0
1075035.126213592,907690.3850385038,920324.8331606217,962653.3253012049,1029494.1366698749,953593.2416356878,1367502.6277372264,1662338.3591549296,1779386.4142011832,2224344.4322580644,1799991.9755164501,1395179.0660792952,1950094.426229508,2317380.6062283735,2060988.4426450746,2324913.93175853,2484478.3326959843,2696988.889719626,3153827.8576687113,5019097.344537815,6328609.333333334,5709381.9130434785,5503215.906614786,8327258.8304347815,7034128.427739545,9425398.594982078,8215165.444444444,6446064.856729377,6158569.437993497,6778429.956177156,5063224.260430994,6480001.106269454,6133158.0
757590.8349514562,878137.909790979,811525.3637305698,735990.1767068274,934741.5976900866,820433.7769516729,1121581.3357664235,1289870.971830986,1579314.177514793,1762085.5677419354,1715027.678653405,1334695.8179148312,1907506.3264433355,2160389.818685121,1871827.1686909583,2077497.333333333,2091710.1440407902,2340279.182554517,2893712.186503067,3411376.4033613447,4625873.333333334,4915585.612648222,4794368.342412451,7589148.486956521,7031208.897829539,6700610.896057348,5670366.055555555,5237024.262421611,5533514.630747793,5708161.062937063,4799241.1077487385,5401238.420631392,4989739.0
749635.640776699,867493.9669966996,757727.5854922279,723482.0481927712,902847.3070259865,808915.3680297398,1030556.2481751826,1255184.3943661973,1512256.6153846153,1546274.529032258,1659603.9602142312,1265274.6901615271,1858684.8239486811,1714246.034602076,1597507.843454791,2018911.6692913384,2024897.8610579986,2316714.0685358257,2593377.0748466253,3146640.43697479,4081925.333333334,4460837.596837945,4415542.381322957,6467314.152173912,6521505.406034939,5002727.713261649,5241640.444444444,5164700.816208393,5180902.138411518,5046718.250815851,4708981.252636405,4527367.957314362,4869304.0
662404.3592233009,796681.6897689769,752999.9668393782,705704.1847389559,770430.6448508181,808697.7174721189,971254.087591241,1245723.5000000002,1475815.621301775,1495623.658064516,1601659.3848508035,1264455.4126284875,1605291.8488952243,1637734.4166089965,1575291.4871794875,1889758.656167979,1837603.3804971317,2271010.0785046727,2590028.858895705,2957108.806722689,3431780.0000000005,4109027.1304347827,4201329.027237354,6137944.217391304,5409115.892006353,4657850.40860215,4959825.805555555,5081391.347805113,4973558.301904319,4758512.984615385,4411178.156808803,4400031.327701201,4644997.0
621302.0582524271,708822.4334433443,734358.3502590673,655683.1967871487,757642.4331087584,784194.9591078067,899617.2116788322,1134674.7112676057,1459332.1656804732,1410182.8322580645,1472547.5929609796,1227225.4860499266,1566852.2594440482,1561716.955017301,1573536.178137652,1675295.0813648293,1827279.4289356277,1993854.9831775702,2587924.4269938646,2932124.3025210085,3397105.3333333335,3757914.1501976284,3761010.0856031124,5490587.017391304,4722750.454208576,4240669.677419355,4847686.25,5039504.023154847,4965529.233627495,4620358.0083916085,4023245.7441540575,4322401.209426411,4504244.0
612809.0873786407,698395.713971397,730025.6911917098,635028.4176706828,739345.1472569779,779573.0855018587,825730.4233576644,1082212.323943662,1410854.1538461538,1393499.8,1465577.028309105,1204285.7151248164,1521714.5032074125,1481412.5674740484,1502625.101214575,1619639.679790026,1772323.2275334606,1925286.8386292835,2516724.480981595,2863729.411764706,3283794.666666667,3727686.2924901186,3750131.2062256807,4881575.513043478,4527561.283218634,4188228.4731182796,4378104.138888889,4600911.536903039,4716388.172782164,4224334.937062937,3858494.8482347545,4174082.0595820365,4290930.0
574810.8446601941,552729.7953795379,667817.1772020725,618476.9317269077,716513.3166506256,769360.5799256505,813171.5547445256,1062134.4507042253,1352553.6094674557,1380521.8451612904,1422522.197398623,1157037.3392070485,1328984.6956521738,1410667.1667820069,1404100.0539811067,1592798.776902887,1543910.0063734862,1888887.0130841122,2354911.41595092,2785231.294117647,3217793.3333333335,3632321.2648221347,3494712.373540856,4630564.065217391,4014906.6596082584,4107766.193548387,3952464.9166666665,4344277.881331404,4600052.529493729,4138440.9883449883,3803710.877579092,4076226.927523344,4203821.0
574270.281553398,508992.13201320125,666532.3689119171,592593.9116465864,685551.5688161694,728905.3159851301,797122.598540146,1057055.3591549296,1342082.8402366864,1285180.4451612902,1331572.8416220353,1155759.5359765051,1301468.6985032072,1352725.3425605535,1261831.7139001351,1534753.968503937,1521248.5302740599,1778159.7308411214,2324719.7202453986,2778999.294117647,3117020.0000000005,3624175.71541502,3449420.2957198443,4206717.473913043,3937129.507676019,3819772.788530466,3618714.6666666665,4121486.1360347318,4243601.995355317,3952523.8601398603,3793327.820265933,4045459.098265896,4019193.0
537757.1941747572,488353.3905390539,626648.5886010362,590500.7710843374,651951.2993262752,727294.2750929368,795639.4160583942,1055832.577464789,1196707.0295857987,1241839.7419354839,1242290.5891354247,1154491.8472834066,1248955.2672843905,1265706.1480968858,1261771.2928475034,1377191.7217847768,1429810.9521988526,1764565.4080996884,2175016.2944785273,2700724.43697479,2892969.3333333335,3608519.8735177866,3339989.540856031,3951082.8304347824,3737644.908417152,3777731.1827956988,3443071.8055555555,3811292.4380125417,4205467.920111472,3735164.911888112,3763029.252636405,3938717.047576701,3910658.0
